S.No,Hospital Name,Hospital Type,District,Mandal,Municipality,Mithra Name (Mobile Number),Specialities
11,Akshaya Multi Specialty Hospital,Corporate,Karimnagar,Karimnagar,Karimnagar,K.Raju (9441196389),S1 - General Surgery; S5 - Orthopedic Surgery And Procedures; S9 - Genito Urinary Surgeries; S15 - Poly Trauma; M2 - General Medicine; M6 - Nephrology; M7 - Neurology
12,All India Institute of Medical Sciences (AIIMS),Government-Govt_Inst,Yadadri Bhuvanagiri,Bibinagar,-,Mogulagani Katamaiah (9705064094); Budida Jyothi (9000284909); Somarapu Saradha (9703950643); Gundu Srinivas (9948006529); Manupati Ashok(9505584121),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
13,"Alpha Super Speciality Hospital, Moghalpura, Hyderabad",Corporate,Hyderabad,Charminar,Ghmc,Kareemunnisa Begum (8464820013),S1 - General Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S14 - Plastic Surgery; S15 - Poly Trauma; M1 - Critical Care; M2 - General Medicine; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M11 - Endocrinology; M12 - Gastroenterology
14,Amritha Trinethra Multi Speciality Hospital,Corporate,Jagtial,Jagitial Rural,Jagtial,Koppu Ramesh (9989108409),S1 - General Surgery; S2 - Ent Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S15 - Poly Trauma; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M6 - Nephrology; M7 - Neurology
15,Amrutha Childrens Nursing Home,Corporate,Hanumakonda,Hanamkonda,Warangal,Kanthula Raju (9492726550); Kande Swamy (9676411805),S8 - Pediatric Surgeries; M4 - Pediatrics
16,Amrutha Nursing Home,Corporate,Karimnagar,Karimnagar,Karimnagar,Kondu Neeraja (7893372438),S1 - General Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S9 - Genito Urinary Surgeries; S15 - Poly Trauma
17,Amrutha True Life Hospital,Corporate,Nizamabad,Bodhan,Bodhan,Y Suresh(9642915242),S5 - Orthopedic Surgery And Procedures; S15 - Poly Trauma
18,"Anand Eye Institute Pvt Ltd, Habsiguda",Corporate,Medchal-Malkajgiri,Uppal,Ghmc,P.Eshwari Bai (9441390139); Shailaja D(9848516648),S3 - Ophthalmology Surgery
19,Ankam Hospital,Corporate,Nizamabad,Nizamabad (North),Nizamabad,T.V.R Lilly Pushpa (9652865641),S5 - Orthopedic Surgery And Procedures; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S15 - Poly Trauma; M2 - General Medicine; M7 - Neurology
20,Aparna Hospital,Corporate,Nizamabad,Armur,Armoor,Gujja Rama Krishana (9440898447),S5 - Orthopedic Surgery And Procedures; S9 - Genito Urinary Surgeries; S9 - Genito Urinary Surgeries; S15 - Poly Trauma; M6 - Nephrology
21,Aparna Hospital and Scan Centre,Corporate,Nalgonda,Nalgonda,Nalgonda,Dandampally Saidulu (9542817110),S5 - Orthopedic Surgery And Procedures; S15 - Poly Trauma
22,Apex Hospitals,Corporate,Medchal-Malkajgiri,Medipally,Perrzadiguda,G. Suman(9502328566),S1 - General Surgery; S5 - Orthopedic Surgery And Procedures; S9 - Genito Urinary Surgeries; S14 - Plastic Surgery; S15 - Poly Trauma; M2 - General Medicine
23,Apollo Hospitals Enterprises Ltd (Jubilee Hills),Corporate,Hyderabad,Shaikpet,Ghmc,P.Venkata Laxmi (9290506300),S7 - Cardiac And Cardiothoracic Surgery; S11 - Surgical Oncology; S16 - Cochlear Implant Surgery; M5 - Cardiology; S19 - Organ Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
24,"Apollo Hospitals, Secunderabad",Corporate,Hyderabad,Secunderabad,Ghmc,N. Ramadevi (7893517745),S1 - General Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S14 - Plastic Surgery; S15 - Poly Trauma; M1 - Critical Care; M2 - General Medicine; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M12 - Gastroenterology
25,Apollo Institute of Mecdical Sciences and Research,Corporate,Hyderabad,Khairthabad,Ghmc,Bagya Laxmi (9705465173),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S11 - Surgical Oncology; S15 - Poly Trauma; M1 - Critical Care; M2 - General Medicine; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M8 - Pulmonology; M9 - Dermatology; M12 - Gastroenterology; M15 - Medical Oncology; M16 - Radiation Oncology
26,Apollo Reach Hospital,Corporate,Karimnagar,Karimnagar,Karimnagar,Mende Devender (9573262574); Kamutam Srinivas (9703472075); Gangarapu.Archana (9908800353),S1 - General Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S15 - Poly Trauma; S17 - Prostheses; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M12 - Gastroenterology
27,Apollo Reach NSR Hospitals A Unit of NSR Hospital,Corporate,Warangal,Warangal,Warangal,Sambari Rajesh (9618472774),S5 - Orthopedic Surgery And Procedures; S9 - Genito Urinary Surgeries; S15 - Poly Trauma; M5 - Cardiology; M6 - Nephrology
28,Aravind Eye Hospital Private Limited,Corporate,Hyderabad,Asifnagar,Ghmc,Mohammed Ibrahim (9908571307),S3 - Ophthalmology Surgery
29,Archana Hospitals Private Limited,Corporate,Rangareddy,Serilingampalli,Ghmc,Mohd.Shamshuddin (9948072191),S5 - Orthopedic Surgery And Procedures; S7 - Cardiac And Cardiothoracic Surgery; S9 - Genito Urinary Surgeries; S15 - Poly Trauma; M5 - Cardiology; M6 - Nephrology
30,Area Hospital Sathupally,Government-TVVP,Khammam,Sathupally,Sathupally,Shaik.Mahaboobi (9490905472); Akshintala.Anuradha (9966299640); Vemu.Mohan Rao (9912685229); Lakavathu.Krishna (9398694021),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
31,Area Hospital - Alampur,Government-TVVP,Jogulamba Gadwal,Alampur,-,Chakali .Venkatesh (7981528085); Ayyanna (8985801637); Rajendra Prasad (9963037905),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
32,Area Hospital Armur,Government-TVVP,Nizamabad,Armur,Armoor,Gujja Rama Krishana (9440898447),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
33,Area Hospital Ashwaraopeta,Government-TVVP,Bhadradri Kothagudem,Aswaraopeta,-,Seelam.Sujatha (9640883628); Ramineni.Raja Rajeshwari (7382234281); Neelapala.Nageswaramma (9492132496),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
34,Area Hospital Bandlaguda,Government-TVVP,Hyderabad,Bandlaguda,Ghmc,Dr A Jhansi Rani (7989310844),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
35,Area Hospital Banswada,Government-TVVP,Kamareddy,Banswada,Banswada,Thota Vinoda (9494714172); Bingi Padma (9951529987); Gonekar Surekha (9505321305); Jangili Sudheer Kumar (9492480923),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
36,Area Hospital Bellampally,Government-TVVP,Mancherial,Bellampally,Bellampalli,Gorlapalli Ramadevi (9963989549); Garlapally Malathi (8309419612); Gaddam Lavanya (8919790541); Miriyala.Kavitha (7816089447); Namani. Swaroopa Rani (8919498334),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
37,Area Hospital Bhadrachalam,Government-TVVP,Bhadradri Kothagudem,Bhadrachalam,-,Mohammad Shabbir Pasha(9959041781); Madakam.Chirumappa (9951571973); B.Lalu (9705111346); Podakalapalli Amar Satheesh(9848070333),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
38,Area Hospital Bheemgal,Government-TVVP,Nizamabad,Bheemgal,Bheemgal,Dr G Sucharita (6303568454),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
39,Area Hospital Bhinsa,Government-TVVP,Nirmal,Bhainsa,Bhainsa,Bombothula.Devalatha (9542628607); Pendela.Gopi (8897383635),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
40,Area Hospital Bichkunda,Government-TVVP,Kamareddy,Bichkunda,-,Gonekar Surekha (9505321305); Jadav Santosh (8790492542),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
41,Area Hospital Boath,Government-TVVP,Adilabad,Boath,-,Prashanth Marri (7095875864); Areker Rajinish Kumar (9182433669); Munde.Godavari (9347523064); Jadhava Dharam Singh (9440832422); Pamula.Dattu (9949193522); Smt.Mamilla Gangamani(8919336681),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
42,Area Hospital Bodhan,Government-TVVP,Nizamabad,Bodhan,Bodhan,Pinapati Vidyavathi (9014504841); Macharla Shankar (9705102396),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
43,Area Hospital Chennuru,Government-TVVP,Mancherial,Chennur,Chennur,Pulli Saritha (9059348181); Saidala.Jayasudha (7382480783),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
