HCO Name,Address,Contact,Accreditation Number (Acc. No.),Accreditations / Certifications
"ASG Hospital Pvt. Ltd., Plot No. C-20-A, Ground Floor, JTN Anukampa Plaza, Bhagwan Das Road, C-Scheme","ASG Hospital Pvt. Ltd., Plot No. C-20-A, Ground Floor, JTN Anukampa Plaza, Bhagwan Das Road, C-Scheme Jaipur Rajasthan",NA,2018-0819,Empaneled
"ASG Hospital Pvt. Ltd., Shop No 12, Bosco Centre Mall, Near Prasad Circle, Gangapur Road","ASG Hospital Pvt. Ltd., Shop No 12, Bosco Centre Mall, Near Prasad Circle, Gangapur Road Nashik Maharashtra",Visit Website +91 1800 120 0111,2021-1936,Empaneled
"ASG Hospital Pvt. Ltd., Shubham Redstone 1st Floor, G.S. Stone Downtown","ASG Hospital Pvt. Ltd., Shubham Redstone 1st Floor, G.S. Stone Downtown Guwahati Assam",NA,2018-0822,Empaneled
ASG HOSPITAL PVT.LTD,ASG HOSPITAL PVT.LTD Sehore Madhya Pradesh,NA,EYE/2024/E0416,Empaneled
ASG HOSPITAL PVT.LTD,"159, DHalbhum Road, SNP Area, Sakchi, Jamshedpur, East Singhbhum, Jharkhand, 831001",NA,EYE/2025/E0516,Empaneled
ASG HOSPITAL PVT.LTD,"Naveen Plaza, Near Anjanpeer Chowk, Lalganj Road, Hajipur, Bihar, Vaishali, Bihar, 844101",NA,EYE/2025/E0527,Empaneled
ASG HOSPITAL PVT.LTD,"SUN SAHIB ROAD NEAR PETROL PUMP & FCI GODOWN CHHEHARTA, AMRITSAR, Jalpaiguri, West Bengal, 143105",NA,EYE/2024/C0546,Empaneled
ASG HOSPITAL PVT.LTD,"Birtamode ,jhapa Nepal, Cuttack, Orissa, 057204",NA,EYE/2024/C0544,Empaneled
ASG HOSPITAL PVT.LTD,"Beena Imperia Benta, Ward No-43, VIP Road, Laheriasarai, Darbhanga, Bihar, Darbhanga , Bihar, 846001",NA,EYE/2025/C0618,Empaneled
ASG HOSPITAL PVT.LTD,"PLOT NO 1 LALDWARA COLONY, VIL - YAMUNANAGAR TEH:JAGDHRI, DISTT:YAMUNANAGAR, STATE:HARYANA, Jodhpur, Rajasthan, 135001",NA,EYE/2025/C0614,Empaneled
ASG HOSPITAL PVT.LTD,"F-5,MAAN NAGAR,NEAR SANGAM HOTEL,JHUNJHUNU, Srinagar, Jammu and Kashmir, 333001",NA,EYE/2025/C0585,Empaneled
ASG HOSPITAL PVT.LTD,"NEAR RAILWAY CROSSING JASSUR TEHSIL-NURPUR,DISTT - KANGRA HIMACHAL PRADESH, Amritsar, Punjab, 176201",NA,EYE/2025/C0586,Empaneled
"ASG Hospital, Ashok Nagar","ASG Hospital, Ashok Nagar Dhanbad Jharkhand",Visit Website +91 1800 121 1804,2017-1070,Empaneled
ASG HOSPITAL.PVT.LTD,"122/726, PLOT NO-302,HNA HARIHARNATH SCHEME,SHASTRINAGAR, Kanpur Nagar, Uttar Pradesh, 208005",NA,EYE/2025/RNC0694,Empaneled
ASG India Oculus Private Limited,"JAIPUR SIDE, BIKANER JAIPUR BYEPASS, SIKAR, SIKAR, SIKAR, Rajasthan, India, 332001",Visit Website +91 86969 62636,ECO-2025-0557,Accredited
Asha Bal and Netra Rugnalay,"14/41/2 Sambhaji Chowk, near D Mart, Ichalkaranji, Maharashtra 416115, Kolhapur, Maharashtra, 416115",NA,SHCO-2025-1277,Accredited
Asha Hospital,Asha Hospital Prayagraj Uttar Pradesh,NA,2015-0388,Empaneled
asha hospital,"near lekha nagar cantonment kamptee - 441001, Nagpur, Maharashtra, 441001",NA,HOS/2024/C1239,Empaneled
ASHA HOSPITAL,"D-83, Pal Road, Near Sai Dham Mandir, Shankar Nagar, Bhadu Market, Jodhpur, Rajasthan, Allahabad, Uttar Pradesh, 342003",NA,HOS/2023/C0833,Empaneled
Asha Hospital,"Parimal Nagar, Kabra Nagar, Nanded, Nanded, Maharashtra, 431601",+91 84461 74314,PESHCO-2025-10515,Certified
Asha Hospital (A Unit of Asha Institute of Medical Sciences & Research Centre Pvt. Ltd.),"NH-44,NEAR LEKHA NAGAR CANTONMENT KAMPTEE KAMPTEE NAGPUR Maharashtra - 441001, Nagpur, Maharashtra, 441001",Visit Website +91 88069 33344,H-2021-0805,Accredited
"Asha Hospital, #89/276, Muir Road, Rajapur, Behind Circuit House","Asha Hospital, #89/276, Muir Road, Rajapur, Behind Circuit House Prayagraj Uttar Pradesh",NA,2018-0927,Empaneled
Asha Kiran The Criti Care Hospital Run and manage by RBKilkari Healthcare Private Limited,Asha Kiran The Criti Care Hospital Run and manage by RBKilkari Healthcare Private Limited Jhajjar Haryana,+91 80707 09870,HOS/2023/E0724,Empaneled
Asha Kiran- The Criti Care Hospital,Asha Kiran- The Criti Care Hospital Jhajjar Haryana,NA,H-2025-1564,Accredited
Asha Multispeciality Hospital,"H.N.12, 80 FEET ROAD, ASHOKA GARDEN, Bhopal, Madhya Pradesh, 462010",NA,PESHCO-2025-10388,Certified
Asha Multispeciality Hospital,"PLOT NO.- 10, SECTOR- 16, NEAR D- MART, ROADPALI, KALAMBOLI, NAVI MUMBAI, Maharashtra, India, 410218",NA,PESHCO-2019-1937,Certified
Asha Neuromodulation Poly Clinic ( A unit of Vihanga Labs Pvt Ltd),"Opp. Biodiversity park, Gachibowli, Hyderabad , Rangareddy, Telangana, India, 500032",Visit Website +91 97777 31111,C-2024-0099,Accredited
Asha Niketan Hospital,Asha Niketan Hospital Bhopal Madhya Pradesh,NA,H-2026-1760,Accredited
Asha Super Speciality Hospital & Research Centre,"SH 38, Daroga Bagh, Civil Lines, Kalyani, Unnao, Unnao, Uttar Pradesh, India, 209801",Visit Website +91 85914 94344,PESHCO-2021-4205,Certified
ASHA SUPER SPECIALITY HOSPITAL AND RESEARCH CENTER,"933,A, DAROGABAGH, CIVIL LINES, UNNAO, Unnao, Uttar Pradesh, 209801",NA,HOS/2025/C2204,Empaneled
ASHA THE HOPE DIAGNOSTIC AND IMAGING LLP,"304, 309, Ring Road Mall, Sector - 3, Rohini, North 24 Parganas, West Bengal, 110085",NA,LAB/2024/C0234,Empaneled
Asha Wellness Clinic,"PAONTA ROAD, HERBERTPUR, Dehradun, Uttarakhand, 248142",Visit Website +91 82795 72453,PESHCO-2024-9866,Certified
Ashadeep Hospital,Ashadeep Hospital,NA,PESHCO-2022-6335,Certified
Ashapurna Fertility Centre,"MMB 1/154 SECTOR B STATE BANK COLONY SITAPUR ROAD SCHEME JANKIPURAM LUCKNOW,226021 UTTAR PRADESH, Lucknow, Uttar Pradesh, 226021",NA,PESHCO-2025-11495,Certified
Ashirvad Hospital,"ASHIRVAD HOSPITAL,THAVAKKRA,KANNUR, Kannur, Kerala, 670002",+91 497 270 0070,PEH-2025-2942,Certified
Ashirwad Critical Care Unit And Multispeciality Hospital,"TRILOK HEIGHTS 1ST AND 2ND FLOOR, L. T . ROAD, ABOVE KOTAK MAHINDRA BANK, MULUND EAST, MUMBAI, Maharashtra, India, 400081",NA,PESHCO-2020-3346,Certified
Ashirwad Dental Clinic,Ashirwad Dental Clinic Patiala Punjab,NA,2016-0730,Empaneled
ASHIRWAD DENTAL CLINIC,"NEAR HINDU PUBLIC SCHOOL TRIPURI ROAD, Patiala, Punjab, 147001",NA,DEN/2025/E0398,Empaneled
Ashirwad Hospital,"ASHIRWAD HOSPITAL, OPP. AMBAJI MANDIR, MANDIR ROAD, KOSAMBA SURAT, Surat, Gujarat, 394120",+91 81408 00277,PESHCO-2024-10208,Certified
Ashirwad Hospital,"Ashirwad Hospital, Near E school, Main Ajit road, Near street no. 7, Bathinda, Bathinda, Punjab, 151001",+91 92560 38499,PESHCO-2024-9204,Certified
Ashirwad Hospital,"OPPOSITE OLD LIC OFFICE MID OF GHANTA GHAR, Dinod Rd,, Bhiwani, Haryana, 127021",NA,PESHCO-2024-9357,Certified
Ashirwad Hospital,"Plot no. 39, Mangalmurty society, B Cabin Road, shiv sakti nagar, Ambernath East, Thane, Maharashtra, 421501",Visit Website +91 95033 36458,PESHCO-2025-10615,Certified
"Ashirwad Hospital And Maternity Home, Ashirwad Complex, Opp. PS T.P. Nagar Baghpat Road","Ashirwad Hospital And Maternity Home, Ashirwad Complex, Opp. PS T.P. Nagar Baghpat Road Meerut Uttar Pradesh",NA,2020-1362,Empaneled
Ashirwad Hospital and Research Centre,"Polytechnic Chauraha Jaunpur , Jaunpur, Uttar Pradesh, 222002",+91 94153 24446,PEH-2025-2805,Certified
ASHIRWAD LASER PHACO EYE HOSPITAL,"I.G Office Road, Nehru Chowk, Bilaspur - 495001 Chhattisgarh, Bilaspur, Chhattisgarh, 495001",NA,EYE/2025/C0850,Empaneled
Ashirwad Lifecare Hospital,"448, BIKAMAUKALA, KISAN PATH, BAKSHI KA TALAB, LUCKNOW, Lucknow, Uttar Pradesh, 226202",+91 75188 86660,PEH-2025-2886,Certified
Ashirwad Maternity and Infertility Hospital,"OPP. HP GAS AGENCY, KARNAL ROAD KAITHAL., Kaithal, Haryana, 136027",+91 90500 80057,SHCO-2025-1202,Accredited
"Ashirwad Maternity Home, Jaipur, Rajasthan, India","Ashirwad Maternity Home, N.H.8, Near Shri Krishna Hospital, Kotputli Jaipur - 303108, Rajasthan",+91 94146 41856,H-2025-1606,Accredited
Ashirwad Multispeciality Hospital,"Inside Dayal Complex, Dabwali Road, Sirsa-125055 (Haryana), Sirsa, Haryana, 125055",+91 79000 70023,SHCO-2025-1136,Accredited
ASHIRWAD MULTISPECIALITY HOSPITAL,"OPPOSITE GARDE HALL, BULDANA, MAHARASHTRA, Buldhana, Maharashtra, 443001",Visit Website +91 83083 00079,HOS/2023/E0952,Empaneled
Ashirwad Nursing Home,"Opp. Sion Railway Station, Dharavi,, Mumbai, Maharashtra, 400022",+91 98925 41219,PESHCO-2022-6280,Certified
Ashirwad Nursing Home,"# 9, Sector-7, Pipli Rd, Urban Estate, DD colony, Kurukshetra, Kurukshetra, Haryana, 136118",NA,PESHCO-2022-5890,Certified
Ashirwad Nursing Home,"‘C ‘WING,101-105, SEEMA COMPLEX CHS, TULINJ ROAD,, Palghar, Maharashtra, 401209",NA,PESHCO-2022-6901,Certified
Ashirwad Orthodontic and Child Care Centre,"35, PRAKASH PURAM, BAJORIA ROAD, SAHARANPUR, UTTAR PRADESH, Saharanpur, Uttar Pradesh, 247001",+91 78954 16758,PESHCO-2025-10381,Certified
Ashish Eye Hospital,"PLOT NO 11, GROUND FLOOR, HARDEVIBAI SOCIETY, JOGESHWARI (EAST) , Mumbai Suburban, Maharashtra, 400060",NA,PESHCO-2024-9980,Certified
Ashish Hospital,"Home science collage road, Napier town, Jabalpur, Jabalpur, Madhya Pradesh, India, 482001",Visit Website +91 76124 01637,H-2019-0660,Accredited
"Ashish Hospital, 1309 / A Home scienc College Road, Napier Town","Ashish Hospital, 1309 / A Home scienc College Road, Napier Town Jabalpur Madhya Pradesh",NA,2015-0278,Empaneled
ASHISH JOINT REPLACEMENT CARE PRIVATE LIMITED,"5TH FLOOR, SAVERA HOSPITAL CAMPUS, GC-5, GC-6, LOHIYA NAGAR KANKARBAGH, PATNA, Patna, Bihar, 800020",NA,HOS/2023/C0978,Empaneled
Ashish Joint Replacement Care Pvt. Ltd.,"5TH FLOOR, SAVERA HOSPITAL CAMPUS, GC-5, GC-6, LOHIYA NAGAR KANKARBAGH, PATNA, Patna, Bihar, 800020",Visit Website +91 612 236 8881,SHCO-2024-1070,Accredited
ASHOK HOSPITAL NEURO AND TRAUMA CENTER,"VILL. KOT. NH-91, OPP. TATA DHARAM KATA, G.B NAGAR (U.P), Gautam Buddha Nagar, Uttar Pradesh, 203207",NA,HOS/2025/E2739,Empaneled
"Ashok Hospital, Anandpur Sahib Road Garshankar","Ashok Hospital, Anandpur Sahib Road Garshankar Hoshiarpur Punjab",+91 98140 73717,2020-1762,Empaneled
ASHOK MEMORIAL HOSPITAL,"VILLAGE & POST OFFICE HARNOTA TEHSIL JAWALI,KANGRA, Kangra, Himachal Pradesh, 176021",NA,HOS/2024/E2069,Empaneled
Ashok Nursing Home and Healthcare Private Limited,"1/402 GARIAHAT ROAD, Kolkata, West Bengal, 700068",Visit Website +91 33 4057 4057,PESHCO-2024-9984,Certified
"Ashok Nursing Home, F-3/13-16, Krishna Nagar, Vijay Chowk","Ashok Nursing Home, F-3/13-16, Krishna Nagar, Vijay Chowk Delhi Delhi",NA,2016-0544,Empaneled
ASHOKA HOSPITAL,"ROAD NO. 1, JURAN CHAPRA, MUZAFFARPUR, Muzaffarpur, Bihar, 842001",NA,HOS/2023/C0765,Empaneled
ASHOKA HOSPITAL,"ROAD NO. 1, JURAN CHAPRA, MUZAFFARPUR, BIHAR, Muzaffarpur, Bihar, 842001",Visit Website +91 92623 98994,HOS/2023/E0921,Empaneled
Ashoka Hospital and Orthopedic Centre,"Ashok vihar,patkahuli, near vikas bhawan, Khalilabad, Sant Kbir Nagar, Uttar Pradesh 272175, Sant Kabir Nagar, Uttar Pradesh, 272175",+91 96168 25096,PESHCO-2024-10239,Certified
Ashoka Medicover Hospitals (A Unit Of Sahrudaya Health Care Pvt Ltd.,"Vadala Road Vascon IT Park, Indira Nagar Nashik - 422009 Maharashtra, Nashik, Maharashtra, 422009",Visit Website +91 40 6833 4455,H-2020-0741,Accredited
"Ashoka Medicover Hospitals(A unit of Sahrudaya Health Care Pvt Ltd) Plot no. 02 Survey no. 113/ 2A, Wadala Shivar, Indira Nagar, Near Jogging Track, Nashik - 422009","Ashoka Medicover Hospitals(A unit of Sahrudaya Health Care Pvt Ltd) Plot no. 02 Survey no. 113/ 2A, Wadala Shivar, Indira Nagar, Near Jogging Track, Nashik - 422009 Nashik Maharashtra",Visit Website +91 40 6833 4455,2019-1603,Empaneled
Ashoka Neuro Psychiatric Hospital & De-Addiction Centre,"123, SHAHEED UDHAM SINGH NAGAR, OPP. DOORDARSHAN KENDRA, JALANDHAR, JALANDHAR, Punjab, India, 144001",Visit Website +91 70874 37556,SHCO-2017-0105,Accredited
"Ashoka Neuro-Psychiatric Hospital, Udham Singh Nagar","Ashoka Neuro-Psychiatric Hospital, Udham Singh Nagar Jalandhar Punjab",Visit Website +91 70874 37556,2016-0780,Empaneled
Ashraya Hospital,"DOOR NO 10977/1,2, MCC A BLOCK, SHAMANUR ROAD,DAVANGERE, Davanagere, Karnataka, 577004",NA,PESHCO-2025-11188,Certified
Ashsheefa Hospital,"Jagannathpur,Sahararhat,Falta,South24 porgona, pin code- 743504, South 24 Parganas, West Bengal, 743504",Visit Website +91 98360 01515,PEH-2025-2991,Certified
Ashtavaidyan Thaikkattu Mooss Vaidyaratnam Nursing Home,"VAIDYARATNAM ROAD, THAIKKATTUSSERY, OLLUR, THRISSUR, Kerala, India, 680306",Visit Website +91 487 350 4646,AH-2015-0012,Accredited
Ashtavinayak Blood Bank,"1st Floor,Sai Palace,Opp.Akashwani Kendra,Near Professor Colony Chowk, Savedi, Ahmednagar, Ahmednagar, Maharashtra, India, 414003",+91 241 242 1334,BB-2020-0108,Accredited
Ashtvinayak Hospital,"Plot 10, Sector -6, near Khandeshwar Lake, Khanda Colony, RAIGAD, Maharashtra, India, 410206",Visit Website +91 88829 05905,SHCO-2020-0362,Accredited
"Ashtvinayak Hospital, Plot No10, Sector 06, Khanda Colony, New Panvel","Ashtvinayak Hospital, Plot No10, Sector 06, Khanda Colony, New Panvel Navi Mumbai Maharashtra",NA,2017-0668,Empaneled
Ashtvinayak Hospitals Pvt. Ltd.,Ashtvinayak Hospitals Pvt. Ltd. Raigad Maharashtra,NA,PESHCO-2026-11881,Certified
Ashutosh Anand Dental clinic,Ashutosh Anand Dental clinic Kangra Himachal Pradesh,Visit Website +91 70184 57828,DEN/2024/E0235,Empaneled
Ashutosh Hospital & Trauma Centre,"15/20, , Hashimpur Road, (Opp. Kamla Nehru Hospital), Prayagraj, Prayagraj, Uttar Pradesh, India, 211002",+91 93270 70000,H-2023-1107,Accredited
"Ashutosh Hospital & Trauma Centre Private Limited, 15/20, Hashimpur Road","Ashutosh Hospital & Trauma Centre Private Limited, 15/20, Hashimpur Road Prayagraj Uttar Pradesh",NA,2016-0439,Empaneled
ASHUTOSH HOSPITAL AND TRAUMA CENTER PVT LTD,"15/20, HASHIMPUR ROAD, (OPPOSITE KAMLA NEHRU HOSPITAL, PRAYAGRAJ, Allahabad, Uttar Pradesh, 211002",NA,HOS/2022/C0394,Empaneled
ASHUTOSH HOSPITAL AND TRAUMA CENTRE PVT LTD,ASHUTOSH HOSPITAL AND TRAUMA CENTRE PVT LTD Allahabad Uttar Pradesh,NA,HOS/2024/E2284,Empaneled
Ashutosh Maternity & Surgical Hospital,"Ashutosh maternity nd surgical hospital, Ashutosh maternity nd surgical hospital, Rajkot, Ashutosh maternity nd surgical hospital, Gujarat, India, 360001",NA,Manyata-2026-0003,Certified
Ashutosh Multispeciality Hospital,"316, Ravi Nagar , Mughalsarai, Chandauli, Uttar Pradesh, 232101",+91 95658 68686,PESHCO-2024-9634,Certified
"Ashwani Accident and Neurocare Centre,Near Patil Plaza, Opp. Bank of Baroda, Sadbhavna Nagar, Ausa Road, Latur - 413512","Ashwani Accident and Neurocare Centre,Near Patil Plaza, Opp. Bank of Baroda, Sadbhavna Nagar, Ausa Road, Latur - 413512 Latur Maharashtra",+91 78755 55840,2019-1492,Empaneled
Ashwin Fed Speciality Hospital,"No. 29, (Old No 64) Kuruvikaran Salai First Cross Street, Anna Nagar, Madurai - 625020, Madurai, Tamil Nadu, 625020",Visit Website +91 452 252 0221,PESHCO-2024-10084,Certified
Ashwin Hospital,"545,SKC ROAD SURAMPATTI NALL ROAD, ERODE, ERODE, ERODE, Tamil Nadu, India, 638001",Visit Website +91 424 225 8393,PESHCO-2018-0297,Certified
Ashwin Hospital,"1, ALAMU NAGAR, SATHY MAIN ROAD, COIMBATORE, COIMBATORE, Tamil Nadu, India, 641012",Visit Website +91 90478 00007,PEH-2016-0141,Certified
Ashwin Hospital (Aswin Polyclinic Private Limited),"No.1, Alamu Nagar, Sathy Main Road, Coimbatore, Coimbatore, Tamil Nadu, 641012",NA,HOS/2025/RNC2424,Empaneled
"Ashwin Medical Foundation, Moraya Multispeciality Hospital","POWER HOUSE CHOWK, LINK ROAD, OPP. BUS STAND, CHINCHWADGAON, PUNE, Maharashtra, India, 411033",Visit Website +91 98817 43565,PESHCO-2019-1957,Certified
Ashwin Polyclinic Pvt. Ltd.,Ashwin Polyclinic Pvt. Ltd. Coimbatore Tamil Nadu,Visit Website +91 90478 00007,2017-1163,Empaneled
Ashwinau Hospital,Ashwinau Hospital Ahmedabad Gujarat,NA,EAH-2024-0077,Certified
Ashwinee Hospital & Research Centre Pvt. Ltd.,Ashwinee Hospital & Research Centre Pvt. Ltd. Kolhapur Maharashtra,+91 79001 81498,PESHCO-2021-5455,Certified
Ashwini,Ashwini Nilgiris Tamil Nadu,NA,PESHCO-2018-0214,Certified
Ashwini Accident Multispeciality Hospital,Ashwini Accident Multispeciality Hospital Nasik Maharashtra,Visit Website +91 80 4804 0021,PESHCO-2019-1626,Certified
Ashwini Ayurvedic Medical College and Research Centre,Ashwini Ayurvedic Medical College and Research Centre Tumkur Karnataka,NA,EAH-2024-0075,Certified
Ashwini Eye Care,"Plot No 144, Door No. 94, North Park Street, , Thiruvallur, Tamil Nadu, 600053",Visit Website +91 44 2657 3635,PESHCO-2020-3905,Certified
Ashwini Hospital,"HOSAMAJALU KAWKRADY VILLAGE NELYADI POST KADABA TALUK , Dakshina Kannada, Karnataka, 574229",NA,PESHCO-2022-5939,Certified
Ashwini Hospital,"Plot No. 3 (P), Sector 1, CDA, Bidanasi Cuttack - 753014, Odisha",Visit Website +91 92380 08811,H-2022-0944,Accredited
Ashwini Kidney and Dialysis Centre,"301/B, Neetigaurav complex, 21, central bazar road, Ramdaspeth, Nagpur, Maharashtra, 440010",NA,HOS/2025/RNC2500,Empaneled
Ashwini Kidney and Dialysis Centre Private Limited,"301B, Neeti Gaurav Complex,, Ramdaspeth,, Nagpur, Nagpur, Maharashtra, India, 440010",Visit Website +91 712 244 8520,PESHCO-2018-0575,Certified
"Ashwini Kidney and Dialysis Centre Pvt. Ltd., #301, B Neeti Gaurav Complex, Ramdaspeth","Ashwini Kidney and Dialysis Centre Pvt. Ltd., #301, B Neeti Gaurav Complex, Ramdaspeth Nagpur Maharashtra",NA,2015-0334,Empaneled
Ashwini Laboratory,"J.P.ROAD, NEAR VERSOVA METRO STATION, MUMBAI, MUMBAI, Maharashtra, India, 400053",+91 98203 57101,MLP-2016-0077,Certified
Ashwini Nursing Home and Medical Clinic,"L. J. Road, Opp. Sitladevi Mandir Mahim, Mumbai, Mumbai, Maharashtra, India, 400016",+91 22 2445 5155,PESHCO-2020-3116,Certified
"Ashwini Rural Medical College Hospital and Research Centre (A Unit of MM Patel Public Charitable Trust), Gate No. 261 & 262, AT Kumbari, Taluka South","Ashwini Rural Medical College Hospital and Research Centre (A Unit of MM Patel Public Charitable Trust), Gate No. 261 & 262, AT Kumbari, Taluka South Solapur Maharashtra",Visit Website +91 97679 99222,2013-0248,Empaneled
Ashwini Sahakari Rugnalaya ANI Sanshodhan Kendra NIY,"SURVEY NO. 7107/1,, TANK PLOT NO 180,, SOLAPUR, SOLAPUR, Maharashtra, India, 413003",Visit Website,H-2022-1062,Accredited
Ashwini Speciality Hospital,Ashwini Speciality Hospital Thane Maharashtra,NA,PESHCO-2026-11798,Certified
Ashwini Trauma Centre (Unit of Cuttack Hospitals Pvt. Ltd.),"Plot no-1-cum-14, Sector-1, Markat Nagar, CDA Cuttack - 753014, Orissa",NA,H-2023-1134,Accredited
Ashwinou Hospital,"Shivaji Chowk , Shivaji Chowk , Malshiras, Solapur, Maharashtra, India, 413107",Visit Website +91 80071 46820,AH-2021-0134,Accredited
Ashwni kumar Healthcare LLP's Aadhar Multispeciality Hospital & ICU,"PLOT NO.199/A ,Dr.Ambedkar Road ,Near Ch.Shivaji Maharaj Chowk,Old Panvel, Raigad, Maharashtra, 410206",Visit Website +91 92256 53798,PESHCO-2024-10128,Certified
"Asia ENT Centre, /8 Sector-C Priyadarshini Yojana Purania Tiraha Near purania Railway Crossing Sitapur Road","Asia ENT Centre, /8 Sector-C Priyadarshini Yojana Purania Tiraha Near purania Railway Crossing Sitapur Road Lucknow Uttar Pradesh",NA,2018-0988,Empaneled
"Asia ENT Centre,1/8 Sector-C Priyadarshini Yojna, Purania Tiraha, Near Purania Railway Crossing, Sitapur Road, Lucknow","Asia ENT Centre,1/8 Sector-C Priyadarshini Yojna, Purania Tiraha, Near Purania Railway Crossing, Sitapur Road, Lucknow Lucknow Uttar Pradesh",NA,2021-1679,Empaneled
"Asia Hospital( A unit of Emedinova Pvt. Ltd.), Dhunki More, Akhunkoun","Asia Hospital( A unit of Emedinova Pvt. Ltd.), Dhunki More, Akhunkoun Patna Bihar",NA,2021-1614,Empaneled
Asia Medcity Hospital (A Unit of Arsia Charitable),"12/1, MAIN MATHURA ROAD HIGHWAY, PILLAR NO-64, NEAR DS DOORS, FARIDABAD, HARYANA, Faridabad, Haryana, 121003",NA,PESHCO-2024-9547,Certified
Asia Pacific Multispeciality Health Care Hospital,Asia Pacific Multispeciality Health Care Hospital Kapurthala Punjab,NA,2018-1238,Empaneled
Asian Cancer Hospital,Asian Cancer Hospital Jaipur Rajasthan,NA,SHCO-2023-0761,Accredited
Asian City Hospital (A Unit of Blue Sapphire Healthcare Pvt. Ltd.),"Behind P&M Mall, Patliputra Industrial Area Patna - 800013, Bihar",+91 96963 96896,H-2023-1172,Accredited
"Asian City Hospital (A unit of Blue Sapphire Healthcares Private Limited), Behind P&M Mall, Patliputra Industrial Area, Patna, Bihar","Asian City Hospital (A unit of Blue Sapphire Healthcares Private Limited), Behind P&M Mall, Patliputra Industrial Area, Patna, Bihar Patna Bihar",NA,2021-1675,Empaneled
Asian Dwarkadas Jalan Super Specialty Hospital (A Unit of Blue Sapphire Healthcares Private Limited),Asian Dwarkadas Jalan Super Specialty Hospital (A Unit of Blue Sapphire Healthcares Private Limited) Dhanbad Jharkhand,NA,H-2025-1706,Accredited
Asian Eye Institute and Laser Center Pvt. Ltd.,"Asian eye institute and laser center Pvt. Ltd. Shop No.1, Ground floor, Riddhi Siddhi Akruti CHS LTD, Plot No. 171 Sector 19, Ulawe, Tal- panvel, Dist- Raigad., Raigad, Maharashtra, 410206",NA,PESHCO-2025-11548,Certified
"Asian Eye Institute And Laser Centre Private Limited, 101, Satyanarayan Apartment, Opp. G.H. High School Off M.G. Road, Borivali (East)","Asian Eye Institute And Laser Centre Private Limited, 101, Satyanarayan Apartment, Opp. G.H. High School Off M.G. Road, Borivali (East) Mumbai Maharashtra",NA,2018-0965,Empaneled
Asian Fidelis Multi Speciality Hospital (A Unit of Pristine Infracon Private Limited),Asian Fidelis Multi Speciality Hospital (A Unit of Pristine Infracon Private Limited) Faridabad Haryana,NA,HOS/2022/E0113,Empaneled
Asian Fidelis Multi Speciality Hospital (A Unit of Pristine Infracon Private Limited),Asian Fidelis Multi Speciality Hospital (A Unit of Pristine Infracon Private Limited) Faridabad Haryana,Visit Website +91 612 226 0177,ECE-2022-0362,Empaneled
Asian Fidelis Multi Specialty Hospital,"Asian Fidelis Multi Speciality Hospital, Sector - 88, Faridabad, Haryana , Faridabad, Haryana, 121002",NA,HOS/2022/C0352,Empaneled
Asian Globus Liver & Gastroenterology Centre,"E -5/24, ARERA COLONY, BHOPAL, BHOPAL, Madhya Pradesh, India, 462016",Visit Website +91 755 470 1333,PESHCO-2017-0196,Certified
Asian Hospital,"PLOT NO.8 ,NEELSAGAR COLONY KALKHEDA ROAD,NEELBAD,BHOPAL(M.P.), Bhopal, Madhya Pradesh, 462023",+91 83194 66991,PESHCO-2024-9543,Certified
Asian Institute of Medical Sciences,Asian Institute of Medical Sciences Thane Maharashtra,Visit Website +91 251 618 5000,HOS/2022/E0564,Empaneled
Asian Institute of Medical Sciences (AIMS Hospital),"P72, P93, P65, Milap Nagar, MIDC, Dombivli East Thane - 421203, Maharashtra",Visit Website +91 251 618 5000,H-2025-1555,Accredited
Asian Institute of Medical Sciences (A Unit of Blue Sapphire Healthcares Pvt. Ltd.),"BADHKAL FLYOVER ROAD,SECTOR - 21 A,FARIDABAD,Haryana-121001, Faridabad, Haryana, 121001",Visit Website +91 129 425 3000,H-2011-0088,Accredited
Asian Institute of Nephrology & Urology,"Erramanzil colony, Hyderabad, Telangana, 500082",Visit Website +91 40 6731 3131,H-2015-0288,Accredited
Asian Institute of Nephrology and Urology (Chennai) Pvt. Ltd.,"No. 21, Tirumurthy Nagar Main Road, Thirumurthy Nagar, Nungambakkam, Chennai - 600034, Chennai, Tamil Nadu, 600034",NA,PEH-2025-3035,Certified
Asian Institute of Nephrology and Urology (Siliguri) Private Limited,"PLOT NO.418 707, SHIV MANDIR ROAD, SHIV MANDIR, SILIGURI, Darjeeling, West Bengal, 734011",Visit Website +91 353 350 1000,PEH-2025-2843,Certified
Asian Institute of Nephrology and Urology (Vizag) Private Limited,"D.No.47-11-12, 1st Lane Dwaraka Nagar, Near Diamond Park, Visakhapatnam, Visakhapatnam, Andhra Pradesh, 530016",NA,SHCO-2025-1124,Accredited
Asian Institute of Nephrology and Urology Pvt. Ltd.,"Plot No. C-17, Vikrampuri Colony, Karkhana, Secunderabad, Hyderabad, Telangana, 500009",Visit Website +91 40 6909 7676,PESHCO-2025-10799,Certified
ASIAN KIDNEY HOSPITAL AND MEDICAL CENTRE,ASIAN KIDNEY HOSPITAL AND MEDICAL CENTRE Nagpur Maharashtra,NA,HOS/2024/C1235,Empaneled
